buildingID,title,poso,plirothike,date_created
184,ΡΕΛΕ ΦΩΤΙΣΜΟΥ ΑΣΑΝΣΕΡ,35.00,true,2023-04-20 12:27:50.301886 +00:00
184,ΗΛΕΚΤΡΟΛΟΓΟΣ-ΛΑΜΠΑ 1ου ,5.00,true,2023-04-20 12:26:25.362837 +00:00
184,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,74.40,true,2023-04-20 12:24:57.365018 +00:00
184,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,6.50,true,2023-04-20 12:24:54.085523 +00:00
184,ΔΙΑΧ/ΚΑ,65.00,true,2023-04-20 12:24:50.393667 +00:00
184,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,70.00,true,2023-04-20 12:24:46.645559 +00:00
25,ΘΕΡΜΑΝΣΗ ΕΩΣ 18/04/2023,96.00,true,2023-04-20 12:13:46.910877 +00:00
25, PROTERGIA 10/01/23-15/02/23,70.16,true,2023-04-20 12:07:09.364933 +00:00
25,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,6.00,false,2023-04-20 12:06:04.179413 +00:00
25,ΔΙΑΧ/ΚΑ,58.50,false,2023-04-20 12:06:00.758306 +00:00
25,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,55.00,false,2023-04-20 12:05:57.112943 +00:00
25,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,50.00,false,2023-04-20 12:05:52.024186 +00:00
23,ΘΕΡΜΑΝΣΗ ΕΩΣ 11/04/2023,4.90,true,2023-04-20 08:51:50.173876 +00:00
23,ΦΠΑ ΑΝΤ/ΣΗΣ ΚΕΝΤΡ.ΑΓΩΓΟΥ ΥΔΡΕΥΣΗΣ,60.00,true,2023-04-20 08:48:30.081892 +00:00
23,ΚΑΘΑΡΙΣΜΟΣ ΔΕΞΑΜΕΝΗΣ ΠΕΤΡΕΛΑΙΟΥ,50.00,true,2023-04-20 08:46:27.561949 +00:00
23,ΔΙΑΧ/ΚΑ,29.52,false,2023-04-20 08:40:53.947546 +00:00
23,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,40.00,true,2023-04-20 08:40:50.407840 +00:00
23,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,40.00,false,2023-04-20 08:40:45.586415 +00:00
